"Province","District","Jan","Feb","Mar","Apr","May","Jun","Jul","Aug","Sep","Oct","Nov","Dec","Total"
"Sudurpaschim","Achham",1,1,1,2,5,4,26,44,34,54,0,0,172
"Lumbini","Arghakhanchi",0,1,1,0,9,2,9,65,93,57,3,0,240
"Gandaki","Baglung",0,0,0,2,1,1,0,10,9,363,152,2,540
"Sudurpaschim","Baitadi",0,1,3,0,1,0,0,16,18,15,0,0,54
"Sudurpaschim","Bajhang",0,0,1,0,1,4,3,30,20,13,0,0,72
"Sudurpaschim","Bajura",1,0,1,0,0,2,2,32,30,13,9,3,93
"Lumbini","Banke",1,1,0,2,1,8,10,14,21,31,2,0,91
"Madhesh","Bara",1,1,0,1,0,0,4,23,17,10,6,1,64
"Lumbini","Bardiya",5,1,1,1,2,2,4,15,12,9,1,1,54
"Bagmati","Bhaktapur",5,9,12,5,2,3,35,154,125,241,30,9,630
"Koshi","Bhojpur",0,0,0,1,0,6,41,107,120,160,21,2,458
"Bagmati","Chitwan",14,1,1,0,0,5,25,53,89,138,62,14,402
"Sudurpaschim","Dadeldhura",0,1,1,0,0,2,5,20,10,9,2,0,50
"Karnali","Dailekh",0,0,0,0,0,1,2,5,9,7,0,0,24
"Lumbini","Dang",4,0,0,3,4,7,12,40,42,23,4,1,140
"Sudurpaschim","Darchula",9,33,117,15,9,5,3,38,15,18,4,1,267
"Bagmati","Dhading",2,1,5,41,18,78,510,1488,965,123,6,2,3239
"Koshi","Dhankuta",0,0,0,0,0,7,144,187,100,167,0,0,605
"Madhesh","Dhanusa",0,0,0,0,0,0,0,331,0,23,6,0,360
"Bagmati","Dolakha",2,0,0,1,0,0,0,4,16,14,0,0,37
"Karnali","Dolpa",0,0,0,3,0,3,2,1,7,1,0,0,17
"Sudurpaschim","Doti",0,2,0,0,2,0,1,29,5,1,0,0,40
"Gandaki","Gorkha",1,0,0,0,2,1,1,25,69,586,63,13,761
"Lumbini","Gulmi",1,1,3,0,0,0,3,21,38,67,6,1,141
"Karnali","Humla",0,0,0,0,0,0,0,0,1,0,1,0,2
"Koshi","Ilam",0,0,0,0,0,0,10,69,96,57,3,1,236
"Karnali","Jajarkot",0,0,1,0,0,0,0,0,23,31,11,4,70
"Koshi","Jhapa",5,2,6,3,0,8,453,854,2212,184,70,28,3825
"Karnali","Jumla",0,0,0,0,0,0,2,0,0,0,0,1,3
"Sudurpaschim","Kailali",4,4,2,2,0,8,29,213,309,330,80,13,994
"Karnali","Kalikot",0,0,0,0,0,0,2,1,9,6,0,0,18
"Sudurpaschim","Kanchanpur",2,12,4,7,4,5,23,58,61,102,25,3,306
"Lumbini","Kapilbastu",3,2,1,0,1,1,2,4,10,18,8,2,52
"Gandaki","Kaski",2,1,0,27,35,42,101,57,331,1946,473,54,3069
"Bagmati","Kathmandu",10,4,4,1,2,11,64,333,634,878,108,27,2076
"Bagmati","Kavrepalanchowk",7,2,0,0,0,1,8,31,52,27,33,0,161
"Koshi","Khotang",0,2,1,0,0,2,7,12,41,26,1,0,92
"Bagmati","Lalitpur",4,3,1,0,2,8,75,136,82,193,31,8,543
"Gandaki","Lamjung",0,0,1,7,15,2,3,9,31,146,53,15,282
"Madhesh","Mahottari",1,0,0,0,0,0,5,10,6,9,5,1,37
"Bagmati","Makwanpur",1,0,2,1,0,3,7,27,45,47,8,2,143
"Gandaki","Manang",0,0,0,0,1,0,0,0,1,9,0,0,11
"Koshi","Morang",2,2,3,3,1,7,739,1487,22,36,20,6,2328
"Karnali","Mugu",0,0,0,0,0,0,0,0,11,1,0,0,12
"Gandaki","Mustang",0,0,11,0,0,0,0,0,0,3,0,0,14
"Gandaki","Myagdi",7,8,0,6,6,4,27,11,1,38,2,3,113
"Gandaki","Nawalparasi east",5,3,0,2,2,4,0,23,26,60,8,1,134
"Lumbini","Nawalparasi west",0,0,2,0,0,0,1,7,20,16,2,2,50
"Bagmati","Nuwakot",0,0,0,2,2,15,27,35,46,55,1,0,183
"Koshi","Okhaldhunga",0,0,0,0,0,0,2,18,25,31,14,6,96
"Lumbini","Palpa",1,4,1,4,5,10,16,62,152,147,23,11,436
"Koshi","Panchthar",0,1,0,0,0,0,4,74,323,162,0,0,564
"Gandaki","Parbat",2,0,0,2,2,1,1,9,14,35,3,0,69
